rabenkraehe;carcro1
amsel;eurbla
kohlmeise;gretit1
blaumeise;blutit
stockente;mallar3
buchfink;comcha
rotmilan;redkit1
maeusebussard;combuz1
elster;eurmag1
graureiher;graher1
blaesshuhn;eurcoo
rotkehlchen;eurrob1
ringeltaube;cowpig1
haussperling;houspa
moenchsgrasmuecke;blackc1
star;eursta
bachstelze;whiwag
hoeckerschwan;mutswa
turmfalke;eurkes
buntspecht;grswoo
zilpzalp;comchi1
kormoran;grecor
rauchschwalbe;barswa
lachmoewe;bkhgul
haubentaucher;grcgre1
stieglitz;eurgol
feldsperling;eutspa
eichelhaeher;eurjay1
goldammer;yellow2
gruenfink;eurgre1
zaunkoenig;winwre4
reiherente;tufduc
hausrotschwanz;blared1
kleiber;eurnut2
gruenspecht;eugwoo2
mittelmeermoewe;yelgul1
mauersegler;comswi
zwergtaucher;litgre1
felsentaube;rocpig
schwarzmilan;blakit1
mehlschwalbe;cohmar1
silberreiher;greegr
schnatterente;gadwal
sumpfmeise;martit2
krickente;gnwtea
gartenbaumlaeufer;shttre1
wacholderdrossel;fieldf
teichrohrsaenger;eurwar1
tafelente;compoc
gaensesaenger;commer
